"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"total_yearly_prawn_serving_wasted_inter_one2"," 2.2e+02"," 6.1e+02","1.3e+03"," 6.6e+02","0.0e+00","6.6e+02","0.0e+00","PA"
"total_yearly_prawn_serving_wasted_inter_one3"," 2.0e+02"," 6.1e+02","1.3e+03"," 6.6e+02","4.8e-02","6.6e+02","4.8e-02","PA"
"total_yearly_prawn_serving_wasted_inter_one4"," 1.9e+02"," 6.2e+02","1.3e+03"," 6.6e+02","1.3e-02","6.6e+02","1.3e-02","PA"
"total_prawn_serving_wasted_inter_two"," 8.3e+02"," 2.4e+03","5.2e+03"," 2.6e+03","2.4e-02","2.6e+03","2.4e-02","PA"
"total_yearly_prawn_serving_wasted_inter_two1"," 2.0e+02"," 6.1e+02","1.3e+03"," 6.6e+02","0.0e+00","6.6e+02","0.0e+00","PA"
"total_yearly_prawn_serving_wasted_inter_two2"," 2.1e+02"," 6.1e+02","1.3e+03"," 6.6e+02","1.5e-02","6.6e+02","1.5e-02","PA"
"total_yearly_prawn_serving_wasted_inter_two3"," 2.1e+02"," 6.1e+02","1.3e+03"," 6.6e+02","2.3e-02","6.6e+02","2.3e-02","PA"
"total_yearly_prawn_serving_wasted_inter_two4"," 1.9e+02"," 6.1e+02","1.3e+03"," 6.6e+02","6.1e-03","6.6e+02","6.1e-03","PA"
"good_learning_outcome_inter_one1"," 6.6e-01"," 7.2e-01","7.9e-01"," 7.2e-01","0.0e+00","7.2e-01","0.0e+00","PA"
"good_learning_outcome_inter_one2"," 6.6e-01"," 7.2e-01","7.9e-01"," 7.2e-01","0.0e+00","7.2e-01","0.0e+00","PA"
"good_learning_outcome_inter_one3"," 6.6e-01"," 7.2e-01","7.9e-01"," 7.2e-01","0.0e+00","7.2e-01","0.0e+00","PA"
"good_learning_outcome_inter_one4"," 6.6e-01"," 7.2e-01","7.9e-01"," 7.2e-01","0.0e+00","7.2e-01","0.0e+00","PA"
"good_learning_outcome_inter_two1"," 7.0e-01"," 7.7e-01","8.4e-01"," 7.7e-01","0.0e+00","7.7e-01","0.0e+00","PA"
"good_learning_outcome_inter_two2"," 7.0e-01"," 7.7e-01","8.4e-01"," 7.7e-01","0.0e+00","7.7e-01","0.0e+00","PA"
"good_learning_outcome_inter_two3"," 7.0e-01"," 7.7e-01","8.4e-01"," 7.7e-01","0.0e+00","7.7e-01","0.0e+00","PA"
"good_learning_outcome_inter_two4"," 7.0e-01"," 7.7e-01","8.4e-01"," 7.7e-01","0.0e+00","7.7e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_one1"," 7.4e-01"," 8.2e-01","8.6e-01"," 8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_one2"," 7.4e-01"," 8.2e-01","8.6e-01"," 8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_one3"," 7.4e-01"," 8.2e-01","8.6e-01"," 8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_one4"," 7.4e-01"," 8.2e-01","8.6e-01"," 8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_two1"," 7.2e-01"," 8.2e-01","8.6e-01"," 8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_two2"," 7.2e-01"," 8.2e-01","8.6e-01"," 8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_two3"," 7.2e-01"," 8.2e-01","8.6e-01"," 8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_nutrition_inter_two4"," 7.2e-01"," 8.2e-01","8.6e-01"," 8.1e-01","0.0e+00","8.1e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_one1"," 7.3e-01"," 7.8e-01","8.3e-01"," 7.8e-01","0.0e+00","7.8e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_one2"," 7.3e-01"," 7.8e-01","8.3e-01"," 7.8e-01","0.0e+00","7.8e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_one3"," 7.3e-01"," 7.8e-01","8.3e-01"," 7.8e-01","0.0e+00","7.8e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_one4"," 7.3e-01"," 7.8e-01","8.3e-01"," 7.8e-01","0.0e+00","7.8e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_two1"," 7.5e-01"," 8.0e-01","8.4e-01"," 7.9e-01","0.0e+00","7.9e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_two2"," 7.5e-01"," 8.0e-01","8.4e-01"," 7.9e-01","0.0e+00","7.9e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_two3"," 7.5e-01"," 8.0e-01","8.4e-01"," 7.9e-01","0.0e+00","7.9e-01","0.0e+00","PA"
"maintain_good_water_intake_inter_two4"," 7.5e-01"," 8.0e-01","8.4e-01"," 7.9e-01","0.0e+00","7.9e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_one1"," 9.3e-01"," 9.4e-01","9.6e-01"," 9.4e-01","0.0e+00","9.4e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_one2"," 9.3e-01"," 9.4e-01","9.6e-01"," 9.4e-01","0.0e+00","9.4e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_one3"," 9.3e-01"," 9.4e-01","9.6e-01"," 9.4e-01","0.0e+00","9.4e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_one4"," 9.3e-01"," 9.4e-01","9.6e-01"," 9.4e-01","0.0e+00","9.4e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_two1"," 9.3e-01"," 9.5e-01","9.6e-01"," 9.5e-01","0.0e+00","9.5e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_two2"," 9.3e-01"," 9.5e-01","9.6e-01"," 9.5e-01","0.0e+00","9.5e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_two3"," 9.3e-01"," 9.5e-01","9.6e-01"," 9.5e-01","0.0e+00","9.5e-01","0.0e+00","PA"
"percent_achieving_nutrition_outcome_inter_two4"," 9.3e-01"," 9.5e-01","9.6e-01"," 9.5e-01","0.0e+00","9.5e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_one1"," 7.1e-01"," 7.5e-01","8.0e-01"," 7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_one2"," 7.1e-01"," 7.5e-01","8.0e-01"," 7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_one3"," 7.1e-01"," 7.5e-01","8.0e-01"," 7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_one4"," 7.1e-01"," 7.5e-01","8.0e-01"," 7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_two1"," 7.1e-01"," 7.5e-01","8.0e-01"," 7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_two2"," 7.1e-01"," 7.5e-01","8.0e-01"," 7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_two3"," 7.1e-01"," 7.5e-01","8.0e-01"," 7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"good_mental_wellbeing_inter_two4"," 7.1e-01"," 7.5e-01","8.0e-01"," 7.5e-01","0.0e+00","7.5e-01","0.0e+00","PA"
"days_40_dash_inter_one1"," 1.3e+01"," 7.9e+01","1.7e+02"," 8.5e+01","8.5e-01","8.6e+01","8.5e-01","PA"
"days_40_dash_inter_one2"," 1.3e+01"," 7.9e+01","1.7e+02"," 8.5e+01","8.5e-01","8.6e+01","8.5e-01","PA"
"days_40_dash_inter_one3"," 1.3e+01"," 7.9e+01","1.7e+02"," 8.5e+01","8.5e-01","8.6e+01","8.5e-01","PA"
"days_40_dash_inter_one4"," 1.3e+01"," 7.9e+01","1.7e+02"," 8.5e+01","8.5e-01","8.6e+01","8.5e-01","PA"
"days_40_dash_inter_two1"," 1.3e+01"," 7.9e+01","1.7e+02"," 8.5e+01","8.5e-01","8.6e+01","8.5e-01","PA"
"days_40_dash_inter_two2"," 1.3e+01"," 7.9e+01","1.7e+02"," 8.5e+01","8.5e-01","8.6e+01","8.5e-01","PA"
"days_40_dash_inter_two3"," 1.3e+01"," 7.9e+01","1.7e+02"," 8.5e+01","8.5e-01","8.6e+01","8.5e-01","PA"
"days_40_dash_inter_two4"," 1.3e+01"," 7.9e+01","1.7e+02"," 8.5e+01","8.5e-01","8.6e+01","8.5e-01","PA"
"days_10_dash_inter_one1"," 8.7e+01"," 2.6e+02","4.5e+02"," 2.6e+02","5.5e-01","2.6e+02","5.5e-01","PA"
"days_10_dash_inter_one2"," 8.7e+01"," 2.6e+02","4.5e+02"," 2.6e+02","5.5e-01","2.6e+02","5.5e-01","PA"
"days_10_dash_inter_one3"," 8.7e+01"," 2.6e+02","4.5e+02"," 2.6e+02","5.5e-01","2.6e+02","5.5e-01","PA"
"days_10_dash_inter_one4"," 8.7e+01"," 2.6e+02","4.5e+02"," 2.6e+02","5.5e-01","2.6e+02","5.5e-01","PA"
"days_10_dash_inter_two1"," 8.7e+01"," 2.6e+02","4.5e+02"," 2.6e+02","5.5e-01","2.6e+02","5.5e-01","PA"
"days_10_dash_inter_two2"," 8.7e+01"," 2.6e+02","4.5e+02"," 2.6e+02","5.5e-01","2.6e+02","5.5e-01","PA"
"days_10_dash_inter_two3"," 8.7e+01"," 2.6e+02","4.5e+02"," 2.6e+02","5.5e-01","2.6e+02","5.5e-01","PA"
"days_10_dash_inter_two4"," 8.7e+01"," 2.6e+02","4.5e+02"," 2.6e+02","5.5e-01","2.6e+02","5.5e-01","PA"
"days_shuttle_run_inter_one1"," 4.7e+01"," 8.0e+01","1.6e+02"," 9.4e+01","0.0e+00","9.4e+01","0.0e+00","PA"
"days_shuttle_run_inter_one2"," 4.7e+01"," 8.0e+01","1.6e+02"," 9.4e+01","0.0e+00","9.4e+01","0.0e+00","PA"
"days_shuttle_run_inter_one3"," 4.7e+01"," 8.0e+01","1.6e+02"," 9.4e+01","0.0e+00","9.4e+01","0.0e+00","PA"
"days_shuttle_run_inter_one4"," 4.7e+01"," 8.0e+01","1.6e+02"," 9.4e+01","0.0e+00","9.4e+01","0.0e+00","PA"
"days_shuttle_run_inter_two1"," 4.7e+01"," 8.0e+01","1.6e+02"," 9.4e+01","0.0e+00","9.4e+01","0.0e+00","PA"
"days_shuttle_run_inter_two2"," 4.7e+01"," 8.0e+01","1.6e+02"," 9.4e+01","0.0e+00","9.4e+01","0.0e+00","PA"
"days_shuttle_run_inter_two3"," 4.7e+01"," 8.0e+01","1.6e+02"," 9.4e+01","0.0e+00","9.4e+01","0.0e+00","PA"
"days_shuttle_run_inter_two4"," 4.7e+01"," 8.0e+01","1.6e+02"," 9.4e+01","0.0e+00","9.4e+01","0.0e+00","PA"
"optimal_training_condition_inter_two1"," 8.0e-01"," 8.3e-01","8.6e-01"," 8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
"optimal_training_condition_inter_two2"," 8.0e-01"," 8.3e-01","8.6e-01"," 8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
"optimal_training_condition_inter_two3"," 8.1e-01"," 8.3e-01","8.6e-01"," 8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
"optimal_training_condition_inter_two4"," 8.0e-01"," 8.3e-01","8.6e-01"," 8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
"optimal_training_condition_inter_one1"," 8.0e-01"," 8.3e-01","8.5e-01"," 8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
"optimal_training_condition_inter_one2"," 8.0e-01"," 8.3e-01","8.5e-01"," 8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
"optimal_training_condition_inter_one3"," 8.0e-01"," 8.3e-01","8.5e-01"," 8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
"optimal_training_condition_inter_one4"," 8.0e-01"," 8.3e-01","8.5e-01"," 8.3e-01","0.0e+00","8.3e-01","0.0e+00","PA"
